chrom	start	end	width	fst	p_value
1	306757	306757	1	0.02588	0.046362265
1	306757	306757	1	0.02588	0.046362265
1	306883	306883	1	0.00918	0.500083542
1	306883	306883	1	0.00918	0.500083542
1	307131	307131	1	0.00331	0.52373935
1	307131	307131	1	0.00331	0.52373935
1	307190	307190	1	0.0084	0.50266876
1	307190	307190	1	0.0084	0.50266876
1	307266	307266	1	0.01371	0.166749533
1	307266	307266	1	0.01371	0.166749533
1	307316	307316	1	0.02451	0.033036905
1	307316	307316	1	0.02451	0.033036905
1	307385	307385	1	0.00142	0.69800878
1	307385	307385	1	0.00142	0.69800878
1	307847	307847	1	0.02312	0.06391779
1	307847	307847	1	0.02312	0.06391779
1	307853	307853	1	0.01486	0.19379845
1	307853	307853	1	0.01486	0.19379845
1	308089	308089	1	0.01761	0.078814322
1	308089	308089	1	0.01761	0.078814322
1	308175	308175	1	0.01159	0.211098232
1	308175	308175	1	0.01159	0.211098232
1	308370	308370	1	0.05639	0.002665484
1	308370	308370	1	0.05639	0.002665484
1	658899	658899	1	0.09628	2.4682e-05
1	658928	658928	1	0.01083	0.169888721
1	658935	658935	1	0.00901	0.500026708
1	661678	661678	1	0.01123	0.215960218
1	661678	661678	1	0.01123	0.215960218
1	661717	661717	1	0.00074	0.851115994
1	661717	661717	1	0.00074	0.851115994
1	661720	661720	1	0.00074	0.851115994
1	661720	661720	1	0.00074	0.851115994
1	663226	663226	1	0.012	0.498082956
1	663405	663405	1	0.01028	0.498199876
1	663474	663474	1	0.00901	0.24970248
1	663522	663522	1	0.00293	0.515850723
1	663811	663811	1	0.01066	0.499625917
1	663822	663822	1	0.00585	0.341665312
1	663874	663874	1	0.0211	0.096584708
1	663992	663992	1	0.01457	0.190630356
1	665801	665801	1	0.0162	0.177932475
1	665801	665801	1	0.0162	0.177932475
1	665801	665801	1	0.0162	0.177932475
1	665801	665801	1	0.0162	0.177932475
1	665812	665812	1	0.11541	2.685e-06
1	665812	665812	1	0.11541	2.685e-06
1	665812	665812	1	0.11541	2.685e-06
