gene_id	fst	p_value
AT1G01880	0.15096	1e-09
AT1G02920	0.14865	2.9e-08
AT1G02930	0.12809	2.65e-07
AT1G02940	0.22888	0
AT1G02950	0.20671	0
AT1G07890	0.22	0
AT1G09640	0.32511	0
AT1G10360	0.04167	0.013747482
AT1G10370	0.04227	0.003392913
AT1G12370	0.13269	1.28e-06
AT1G16190	0.07986	0.00026955
AT1G17170	0.08543	7.517e-05
AT1G17180	0.31081	0
AT1G17190	0.14055	3e-09
AT1G18090	0.10375	1.4424e-05
AT1G19570	0.02956	0.025976788
AT1G27130	0.05669	0.000854275
AT1G27140	0.04328	0.005287511
AT1G29630	0.25465	0
AT1G30230	0.08678	3.8013e-05
AT1G34380	0.11364	3.11e-07
AT1G49860	0.28313	0
AT1G53680	0.27652	0
AT1G57720	0.20559	0
AT1G59670	0.0248	0.039541621
AT1G59700	0.10163	1.719e-06
AT1G69920	0.16297	7.4e-08
AT1G69930	0.03986	0.008025094
AT1G74590	0.14473	1.5e-07
AT1G75270	0.03135	0.010169974
AT1G77290	0.06916	0.000278271
AT1G77490	0.22406	2e-09
AT1G78320	0.22888	0
AT1G78340	0.08028	0.000174554
AT1G78360	0.15681	4.1e-08
AT1G78370	0.17364	4.8e-08
AT1G78380	0.22078	0
AT1G79650	0.51381	0
AT2G02380	0.12731	3.011e-06
AT2G02390	0.07424	0.000333432
AT2G18110	0.13287	2.01e-07
AT2G29420	0.08664	0.000202443
AT2G29440	0.01411	0.155213078
AT2G29450	0.01709	0.151817534
AT2G29460	0.06667	9.2992e-05
AT2G29470	0.08789	1.8653e-05
AT2G29480	0.0385	0.019537001
AT2G29490	0.1321	2.289e-06
AT3G43800	0.03642	0.018992287
AT3G48900	0.07177	5.5878e-05
AT3G52050	0.18042	6.1e-08
AT3G55040	0.19836	0
AT3G62760	0.13069	1.2e-08
AT4G02520	0.02897	0.051419398
AT4G08390	0.20123	2e-09
AT4G10000	0.08472	1.0232e-05
AT4G19880	0.05606	0.00070011
AT4G32320	0.07204	0.000329921
AT4G35000	0.1456	5.47e-07
AT4G35970	0.13904	7e-09
AT5G02780	0.06902	0.000345329
AT5G02790	0.09264	5.473e-05
AT5G03880	0.14245	1.33e-07
AT5G12110	0.18345	0
AT5G16090	0.04002	0.008303579
AT5G16630	0.15221	5e-09
AT5G16710	0.01801	0.140366173
AT5G17220	0.02616	0.02863162
AT5G19510	0.01077	0.207213332
AT5G26680	0.1198	9.073e-06
AT5G26710	0.09964	1.4411e-05
AT5G38470	0.17846	1e-09
AT5G41210	0.12649	4.906e-06
AT5G41220	0.06312	0.000233885
AT5G41240	0.05007	0.001328016
AT5G42150	0.15457	7e-09
AT5G44000	0.14351	4.5e-08
AT5G44740	0.1092	6.167e-06
AT5G44990	0.13804	1.65e-07
AT5G45020	0.0311	0.025996219
AT5G62480	0.01498	0.145188796
