gene_id	fst	p_value
AT1G01880	0.15953	0
AT1G02920	0.08801	1.185e-05
AT1G02930	0.13768	2.1e-08
AT1G02940	0.11627	2.589e-06
AT1G02950	0.18986	0
AT1G07890	0.09629	5.661e-06
AT1G09640	0.09384	9.794e-06
AT1G10360	0.08741	5.4752e-05
AT1G10370	0.01031	0.218335983
AT1G12370	0.17525	5e-09
AT1G16190	0.13455	5.4e-08
AT1G17170	0.0085	0.501615136
AT1G17180	0.18597	0
AT1G17190	0.16075	0
AT1G18090	0.19355	0
AT1G19570	0.07269	1.7844e-05
AT1G27130	0.08314	2.8523e-05
AT1G27140	0.11534	7.09e-07
AT1G29630	0.11289	6.81e-07
AT1G30230	0.0625	0.000114204
AT1G34380	0.13333	7e-09
AT1G49860	0.04757	0.001808159
AT1G53680	0.2477	0
AT1G57720	0.21634	0
AT1G59670	0.01108	0.21251006
AT1G59700	0.10445	5.83e-07
AT1G69920	0.12698	9e-09
AT1G69930	0.06088	0.000800267
AT1G74590	0.03268	0.018833279
AT1G75270	0.03416	0.007274175
AT1G77290	0.05909	0.000729421
AT1G77490	0.14173	8.5e-08
AT1G78320	0.06198	0.000332212
AT1G78340	0.01806	0.092873055
AT1G78360	0.09347	1.902e-06
AT1G78370	0.07285	0.000153703
AT1G78380	0.1143	1.27e-07
AT1G79650	0.08729	0.000196329
AT2G02380	0.05913	0.000127728
AT2G02390	0.10037	3.461e-06
AT2G18110	0.03596	0.013381675
AT2G29420	0.02574	0.031081695
AT2G29440	0.01705	0.123130411
AT2G29450	0.01114	0.220226021
AT2G29460	0.07068	3.6079e-05
AT2G29470	0.12034	1.43e-07
AT2G29480	0.02928	0.017188172
AT2G29490	0.08108	4.907e-05
AT3G43800	0.03706	0.006900727
AT3G48900	0.05319	0.000685348
AT3G52050	0.04047	0.006090919
AT3G55040	0.22283	0
AT3G62760	0.14233	1e-09
AT4G02520	0.01567	0.106980978
AT4G08390	0.08259	1.6459e-05
AT4G10000	0.10147	2.89e-07
AT4G19880	0.05104	0.00055141
AT4G32320	0.04211	0.002145622
AT4G35000	0.07143	6.3044e-05
AT4G35970	0.1774	2e-09
AT5G02780	0.07611	5.2598e-05
AT5G02790	0.11264	2.747e-06
AT5G03880	0.09682	3.577e-06
AT5G12110	0.07752	0.000147278
AT5G16090	0.054	0.001409449
AT5G16630	0.13834	6.2e-08
AT5G16710	0.02536	0.040759201
AT5G17220	0.01574	0.07465972
AT5G19510	0.04723	0.001699652
AT5G26680	0.10477	1.823e-06
AT5G26710	0.03262	0.010153371
AT5G38470	0.14332	2.7e-08
AT5G41210	0.05458	0.000605098
AT5G41220	0.05895	0.000583066
AT5G41240	0.07131	5.6466e-05
AT5G42150	0.06412	0.000129122
AT5G44000	0.10952	3.245e-06
AT5G44740	0.07197	5.6029e-05
AT5G44990	0.02671	0.029723006
AT5G45020	0.02802	0.029679216
AT5G62480	0.12369	9e-09
