gene_id	fst	p_value
AT1G01880	0.05639	0.002665484
AT1G02920	0.09628	2.4682e-05
AT1G02930	0.01123	0.215960218
AT1G02940	0.0211	0.096584708
AT1G02950	0.11541	2.685e-06
AT1G07890	0.10929	1.1256e-05
AT1G09640	0.11538	5.04e-07
AT1G10360	0.04546	0.010744195
AT1G10370	0.04679	0.004426839
AT1G12370	0.24694	0
AT1G16190	0.13344	8.44e-07
AT1G17170	0.07898	0.000245037
AT1G17180	0.111	6.168e-06
AT1G17190	0.07278	0.000175339
AT1G18090	0.05905	0.001378493
AT1G19570	0.0187	0.079566538
AT1G27130	0.01969	0.156410256
AT1G27140	0.07556	0.000171607
AT1G29630	0.13492	3.59e-06
AT1G30230	0.08232	8.7654e-05
AT1G34380	0.03906	0.021871054
AT1G49860	0.13297	2.198e-06
AT1G53680	0.04949	0.004497779
AT1G57720	0.08068	0.000256276
AT1G59670	0.00976	0.498750363
AT1G59700	0.03842	0.008745715
AT1G69920	0.07079	0.000170658
AT1G69930	0.02841	0.037392422
AT1G74590	0.14543	2.8e-07
AT1G75270	0.03495	0.015659772
AT1G77290	0.04651	0.00701095
AT1G77490	0.04653	0.010815866
AT1G78320	0.08964	0.000339837
AT1G78340	0.02382	0.053917748
AT1G78360	0.04274	0.00900255
AT1G78370	0.05594	0.002375388
AT1G78380	0.04887	0.001358088
AT1G79650	0.22898	2.6e-08
AT2G02380	0.0855	0.000266956
AT2G02390	0.03559	0.033930448
AT2G18110	0.06615	0.001300746
AT2G29420	0.06004	0.002942477
AT2G29440	0.00711	0.318501766
AT2G29450	0.0336	0.022666669
AT2G29460	0.02078	0.146401985
AT2G29470	0.01883	0.162541321
AT2G29480	0.03234	0.025225693
AT2G29490	0.00733	0.337562153
AT3G43800	0.03442	0.027300429
AT3G48900	0.07368	0.000569465
AT3G52050	0.10605	9.477e-06
AT3G55040	0.08418	2.73e-05
AT3G62760	0.08021	2.4627e-05
AT4G02520	0.01009	0.500452489
AT4G08390	0.23333	0
AT4G10000	0.05263	0.00242123
AT4G19880	0.10138	0.000100952
AT4G32320	0.03628	0.018805538
AT4G35000	0.05972	0.003507459
AT4G35970	0.11917	2.86e-07
AT5G02780	0.02841	0.066148952
AT5G02790	0.1005	5.8247e-05
AT5G03880	0.20014	4e-09
AT5G12110	0.16268	9.3e-08
AT5G16090	0.01857	0.133170663
AT5G16630	0.07471	0.00017228
AT5G16710	0.02098	0.127809918
AT5G17220	0.06503	0.000470653
AT5G19510	0.03268	0.042436651
AT5G26680	0.05503	0.004601642
AT5G26710	0.0764	0.000199845
AT5G38470	0.17105	6e-09
AT5G41210	0.1953	1e-09
AT5G41220	0.0472	0.009600794
AT5G41240	0.0794	0.000364391
AT5G42150	0.0949	2.5515e-05
AT5G44000	0.19193	1e-08
AT5G44740	0.04175	0.007619129
AT5G44990	0.06018	0.00189581
AT5G45020	0.02912	0.032760372
AT5G62480	0.16108	1.8e-08
