chrom	start	end	width	gene_id
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	306480	309109	2630	AT1G01880.1
1	306480	309109	2630	AT1G01880.2
1	658657	659771	1115	AT1G02920.1
1	658657	659771	1115	AT1G02920.1
1	658657	659771	1115	AT1G02920.1
1	661177	662427	1251	AT1G02930.1
1	661309	662456	1148	AT1G02930.2
1	661177	662427	1251	AT1G02930.1
1	661309	662456	1148	AT1G02930.2
1	663079	664128	1050	AT1G02940.1
1	663079	664128	1050	AT1G02940.1
1	663079	664128	1050	AT1G02940.1
1	663079	664128	1050	AT1G02940.1
1	663079	664128	1050	AT1G02940.1
1	663079	664128	1050	AT1G02940.1
1	663079	664128	1050	AT1G02940.1
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	665152	666451	1300	AT1G02950.3
1	665168	666452	1285	AT1G02950.2
1	665168	666451	1284	AT1G02950.1
1	665168	666451	1284	AT1G02950.4
1	2437330	2439665	2336	AT1G07890.1
1	2437330	2439665	2336	AT1G07890.6
1	2437437	2439665	2229	AT1G07890.2
1	2437478	2439665	2188	AT1G07890.4
1	2437478	2439665	2188	AT1G07890.5
1	2437478	2439665	2188	AT1G07890.7
